Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Dog,Fencing Issues,UPPER KEDRON,2018-05-01
Animal,Other Animal,Nuisance Animal,CHERMSIDE,2018-05-01
Animal,Cat,,GRANGE,2018-05-01
Animal,Attack,Attack On An Animal,MANLY,2018-05-01
Animal,Other Animal,Fox,YERONGA,2018-05-01
Animal,Other Animal,Deer,WILLAWONG,2018-05-01
Animal,Attack,Not An Attack,MOGGILL,2018-05-01
Animal,Dog,Fencing Issues,SUNNYBANK HILLS,2018-05-01
Animal,Dog,Fencing Issues,SUNNYBANK HILLS,2018-05-01
Animal,Attack,Attack On A Person,DEAGON,2018-05-01
Animal,Dog,Fencing Issues,STAFFORD,2018-05-01
Animal,Cat,,EAST BRISBANE,2018-05-01
Animal,Dog,Fencing Issues,WYNNUM,2018-05-01
Animal,Dog,Fencing Issues,CARSELDINE,2018-05-01
Animal,Dog,Defecating In Public,,2018-05-01
Animal,Dog,Fencing Issues,MORNINGSIDE,2018-05-01
Animal,Dog,Fencing Issues,MANLY WEST,2018-05-01
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST,2018-05-01
Animal,Dog,Defecating In Public,CARSELDINE,2018-05-01
Animal,Attack,Attack On An Animal,WACOL,2018-05-01
Animal,Cat,,KEDRON,2018-05-01
Animal,Attack,Attack On An Animal,RUNCORN,2018-05-01
Animal,Attack,Menacing,MIDDLE PARK,2018-05-01
Animal,Dog,Fencing Issues,STAFFORD HEIGHTS,2018-05-01
Animal,Dog,Unregistered,YERONGA,2018-05-01
Animal,Attack,Not An Attack,WYNNUM WEST,2018-05-01
Animal,Attack,Attack On An Animal,HEMMANT,2018-05-01
Animal,Dog,Fencing Issues,BRIGHTON,2018-05-01
Animal,Other Animal,Nuisance Animal,THE GAP,2018-05-01
Animal,Dog,Fencing Issues,WAVELL HEIGHTS,2018-05-01
Animal,Dog,Too Many Animals,WOOLLOONGABBA,2018-05-01
Animal,Attack,Attack On An Animal,BELLBOWRIE,2018-05-01
Animal,Dog,Odour,WAVELL HEIGHTS,2018-05-01
Animal,Dog,Unregistered,SUNNYBANK,2018-05-01
Animal,Other Animal,,RICHLANDS,2018-05-01
Animal,Attack,Not An Attack,SEVEN HILLS,2018-05-01
Animal,Attack,Attack On A Person,KENMORE HILLS,2018-05-01
Animal,Cat Trapping,,MIDDLE PARK,2018-05-01
Animal,Dog,Defecating In Public,,2018-05-01
Animal,Attack,,FOREST LAKE,2018-05-01
Animal,Attack,Attack On An Animal,BARDON,2018-05-01
Animal,Attack,Attack On An Animal,ACACIA RIDGE,2018-05-01
Animal,Attack,Attack On An Animal,HOLLAND PARK,2018-05-01
